#  
"34  ";"Ross 10                            ";PM*;01 38 21.6162502671 +57 13 56.988037820;"     ~   ";"     ~   ";"11.29    ";"11.511   ";"     ~   ";"M2.5Ve                 ";"  41";"   0"
"35  ";"* iot Per                          ";PM*;03 09 04.0193012009 +49 36 47.802053343;"4.76     ";"4.64     ";"     ~   ";"3.7      ";"     ~   ";"G0V                    ";" 522";"   0"
"36  ";"G 208-45                           ";Er*;19 53 55.1405033909 +44 24 54.147256052;"     ~   ";"15.97    ";"13.99    ";"14.3     ";"10.27    ";"M6V                    ";" 177";"   0"
"37  ";"G 208-44                           ";Er*;19 53 54.4821159649 +44 24 51.341564299;"     ~   ";"15.31    ";"13.126   ";"13.083   ";"9.78     ";"M5.5Ve                 ";" 204";"   1"
"38  ";"IRAS 21500+5903                    ";PM*;21 51 38.3194245194 +59 17 39.867862225;"     ~   ";"11.88    ";"10.64    ";"     ~   ";"     ~   ";"M3.9                   ";"  15";"   0"
"39  ";"Wolf 47                            ";Er*;01 03 19.8350070578 +62 21 55.837228636;"     ~   ";"15.34    ";"13.21    ";"12.4     ";"     ~   ";"M5V                    ";" 180";"   0"
"40  ";"BD+61 195                          ";PM*;01 02 38.8680626986 +62 20 42.175257431;"     ~   ";"11.439   ";"     ~   ";"8.7      ";"     ~   ";"M1.5V                  ";" 221";"   0"
"41  ";"Wolf 44                            ";PM*;01 01 20.0492200601 +61 21 56.681648637;"     ~   ";"12.26    ";"10.87    ";"     ~   ";"     ~   ";"M2.0Ve                 ";"  82";"   1"
"42  ";"Ross 15                            ";Er*;01 59 23.5137039235 +58 31 16.104337813;"     ~   ";"12.90    ";"12.155   ";"11.871   ";"     ~   ";"M4Ve                   ";"  86";"   0"
"43  ";"EGGR 473                           ";WD*;02 48 36.4291217434 +54 23 22.464606271;"     ~   ";"16.25    ";"     ~   ";"15.1     ";"     ~   ";"DAZ9                   ";"  59";"   0"
"44  ";"G 208-42                           ";Er*;19 51 09.3205973189 +46 29 00.213809780;"     ~   ";"14.47    ";"     ~   ";"12.544   ";"     ~   ";"M4.0V                  ";" 148";"   0"
"45  ";"BD+66 34B                          ";PM*;00 32 29.5866515154 +67 14 03.798281437;"     ~   ";"14.2     ";"12.19    ";"11.0     ";"     ~   ";"M3V                    ";"  52";"   1"
"46  ";"HD 10436                           ";PM*;01 43 40.7239658880 +63 49 24.235143093;"     ~   ";"9.609    ";"8.407    ";"7.7      ";"     ~   ";"K5Vbe                  ";" 112";"   0"
"47  ";"HD 10780                           ";BY*;01 47 44.8344358038 +63 51 09.011001993;"6.84     ";"6.44     ";"5.63     ";"4.99     ";"4.60     ";"K0V                    ";" 328";"   0"
"48  ";"G 244-47                           ";PM*;02 01 35.3407161312 +63 46 11.997406488;"     ~   ";"     ~   ";"     ~   ";"10.630   ";"     ~   ";"M2.5Ve                 ";"  63";"   0"
"49  ";"EGGR 268                           ";WD*;01 51 51.1387595810 +64 25 52.547329311;"     ~   ";"13.6     ";"     ~   ";"12.8     ";"     ~   ";"DA5.6                  ";"  43";"   0"
"50  ";"LSR J0419+4233                     ";PM*;04 19 52.1308536326 +42 33 30.419334395;"     ~   ";"20.3     ";"     ~   ";"17.4     ";"     ~   ";"M8/9V                  ";"  20";"   0"
"51  ";"Wolf 1069                          ";PM*;20 26 05.3021309544 +58 34 22.680416973;"     ~   ";"15.83    ";"     ~   ";"13.811   ";"     ~   ";"dM5.0                  ";"  58";"   0"
"52  ";"HD 199305                          ";PM*;20 53 19.7889212813 +62 09 15.817261385;"     ~   ";"10.459   ";"     ~   ";"7.7      ";"     ~   ";"M1.0Ve                 ";" 205";"   0"
"53  ";"Ross 370B                          ";PM*;03 16 13.9120107253 +58 10 07.474951984;"     ~   ";"     ~   ";"     ~   ";"10.5     ";"     ~   ";"M2.0V                  ";"  29";"   0"
"54  ";"* eta Cep                          ";PM*;"20 45 17.3755540 +61 50 19.616737      ";"4.960    ";"4.320    ";"3.410    ";"2.76     ";"2.27     ";"K0IV                   ";" 427";"   0"
"55  ";"Ross 318                           ";Er*;01 02 32.2354294685 +71 40 47.336260174;"     ~   ";"11.736   ";"     ~   ";"9.1      ";"     ~   ";"M3.0Ve                 ";" 146";"   0"
"56  ";"G 246-33                           ";"** ";"03 19 28.75488 +61 56 04.6104          ";"     ~   ";"15.65    ";"     ~   ";"13.73    ";"     ~   ";"M4.0V                  ";"  24";"   0"
"57  ";"Ross 28                            ";"** ";04 12 58.8326322803 +52 36 42.021350887;"     ~   ";"15.0     ";"     ~   ";"13.203   ";"     ~   ";"M4.0Ve                 ";"  50";"   0"
"58  ";"G 262-15                           ";PM*;20 30 32.0453969319 +65 26 58.411357864;"     ~   ";"12.00    ";"     ~   ";"10.124   ";"     ~   ";"M3V                    ";" 148";"   0"
"59  ";"HD 223778                          ";SB*;23 52 25.4091266714 +75 32 40.354906472;"     ~   ";"7.37     ";"     ~   ";"5.8      ";"     ~   ";"K3V                    ";" 131";"   0"
"60  ";"HD 223778B                         ";PM*;23 52 24.9035169255 +75 32 40.023826946;"     ~   ";"     ~   ";"11.7     ";"     ~   ";"     ~   ";"M2:                    ";"  21";"   0"
"61  ";"G 245-40                           ";"** ";02 01 54.1625933880 +73 32 31.688011608;"     ~   ";"     ~   ";"14.064   ";"13.784   ";"     ~   ";"M4.5Ve                 ";"  23";"   0"
"62  ";"Ross 567                           ";PM*;03 53 10.4354617848 +62 34 08.066015328;"     ~   ";"     ~   ";"     ~   ";"11.084   ";"     ~   ";"M3.0Ve                 ";"  38";"   0"
"63  ";"HD 232979                          ";Er*;04 37 40.9304170763 +52 53 37.012960438;"     ~   ";"10.006   ";"8.648    ";"8.750    ";"     ~   ";"M0.5V                  ";" 168";"   0"
"64  ";"G 81-34                            ";"** ";"04 49 29.524176 +48 28 45.35004        ";"     ~   ";"15.137   ";"13.426   ";"13.169   ";"     ~   ";"M4.0V                  ";"  27";"   0"
"65  ";"* gam Cep                          ";SB*;23 39 20.9104133784 +77 37 56.510781384;"5.190    ";"4.250    ";"     ~   ";"2.6      ";"     ~   ";"K1III-IVCN1            ";" 570";"   1"
"66  ";"G 247-15                           ";Er*;04 12 17.0151268793 +64 43 55.623443492;"     ~   ";"15.1     ";"     ~   ";"13.381   ";"     ~   ";"M4                     ";"  33";"   0"
"67  ";"G 175-34                           ";PM*;04 31 11.5144294005 +58 58 37.463848495;"     ~   ";"     ~   ";"10.98    ";"     ~   ";"     ~   ";"M4.0Ve                 ";" 130";"   0"
"68  ";"EGGR 180                           ";WD*;04 31 12.5714396826 +58 58 41.292707803;"12.29    ";"12.77    ";"     ~   ";"12.8     ";"     ~   ";"DC5                    ";" 114";"   0"
"69  ";"BD+45 2743B                        ";PM*;18 35 27.2881668604 +45 45 40.947191713;"     ~   ";"14.62    ";"     ~   ";"12.671   ";"     ~   ";"M2.5V                  ";"  58";"   0"
"70  ";"G 221-5                            ";PM*;03 10 58.3020688358 +73 46 19.688390262;"     ~   ";"16.45    ";"     ~   ";"13.8     ";"     ~   ";"M6                     ";"  32";"   0"
"71  ";"BD+52 911                          ";PM*;05 03 23.9019726858 +53 07 42.484047461;"     ~   ";"11.789   ";"10.059   ";"9.08     ";"8.11     ";"M0.5Ve                 ";"  88";"   0"
"72  ";"G 96-29                            ";PM*;05 17 23.8623810386 +45 50 22.927685973;"     ~   ";"     ~   ";"     ~   ";"9.70     ";"     ~   ";"M2.5V                  ";"  66";"   0"
"73  ";"G 96-29B                           ";PM*;05 17 23.9524233742 +45 50 19.300250088;"     ~   ";"14       ";"13.7     ";"     ~   ";"     ~   ";"M4:                    ";"  18";"   0"
"74  ";"* alf Aur                          ";SB*;"05 16 41.35871 +45 59 52.7693          ";"1.33     ";"0.88     ";"0.08     ";"-0.52    ";"-0.96    ";"G3III:                 ";1157;"   0"
"75  ";"HD 173740                          ";PM*;18 42 46.8946714770 +59 37 36.721161413;"     ~   ";"11.705   ";"     ~   ";"8.9      ";"     ~   ";"M3.5V                  ";" 309";"   1"
"76  ";"HD 173739                          ";PM*;18 42 46.7043860406 +59 37 49.409446059;"     ~   ";"10.782   ";"     ~   ";"8.1      ";"     ~   ";"M3V                    ";" 354";"   1"
"77  ";"* sig Dra                          ";PM*;19 32 21.5902098601 +69 39 40.235805206;"5.860    ";"5.460    ";"4.680    ";"4.04     ";"3.63     ";"K0V                    ";" 599";"   0"
"78  ";"G 245-71                           ";PM*;03 21 21.7806754349 +79 58 02.153242183;"     ~   ";"     ~   ";"     ~   ";"10.2     ";"     ~   ";"M2.0Ve                 ";"  66";"   0"
"79  ";"EGGR 374                           ";WD*;18 30 20.2711538874 +54 47 27.207896312;"     ~   ";"15.99    ";"     ~   ";"14.9     ";"     ~   ";"DQ7P                   ";"  84";"   0"
"80  ";"G 227-28                           ";WD*;18 21 19.8310303352 +61 01 07.383349520;"     ~   ";"16.62    ";"     ~   ";"15.0     ";"     ~   ";"DA10                   ";"  46";"   0"
"81  ";"G 227-29                           ";PM*;18 22 27.0947595389 +62 03 01.746625489;"     ~   ";"14.8     ";"     ~   ";"13.060   ";"     ~   ";"M4.0V                  ";"  74";"   0"
"82  ";"LAWD 73                            ";WD*;19 00 10.2533239461 +70 39 51.416733790;"     ~   ";"13.24    ";"     ~   ";"13.5     ";"     ~   ";"DAP4.5                 ";" 232";"   0"
"83  ";"LP 44-334                          ";"** ";"18 40 02.39544 +72 40 54.4404          ";"     ~   ";"19.0     ";"17.62    ";"16.1     ";"13.25    ";"M7.0V                  ";"  16";"   0"
"84  ";"G 261-6                            ";PM*;19 24 16.3066691892 +75 33 11.845011179;"     ~   ";"17.30    ";"     ~   ";"14.4     ";"     ~   ";"M6V                    ";"  28";"   0"
